PLAYER NAME,DATE OF BIRTH,GENDER,DATE SIGNED UP,CURRENT TEAM,TEAM LOCATION,TEAM MANAGER,SALARY (£k/Week),START OF CONTRACT,CONTRACT DURATION,NEW CONTRACT DISCUSSIONS,COMMISSION (%)
NB009,24/04/2001,M,01/01/2017,REDNORTH,LIVERPOOL,REDMAN,50,01/01/2019,5,Y,3.5
OB001,31/07/1997,M,01/01/2017,REDNORTH,LIVERPOOL,REDMAN,42,01/12/2018,3,,3.5
OB022,31/08/1995,M,31/03/2014,REDSOUTH,BRIGHTON,SOUTHMAN,33,01/06/2018,4,Y,4
OG005,22/07/1991,F,01/01/2011,LIGHTGREEN,COVENTRY,BROWN,12,01/01/2017,5,Y,3
NG001,17/04/1997,F,17/04/2015,DARK GREEN,LEEDS,GREENBOX,14,01/01/2020,5,,4
NG004,05/08/1999,F,01/10/2018,LIGHTRED,OXFORD,PINKMAN,15,01/12/2018,3,,3
NB004,01/01/2001,M,15/11/2018,NAVYBLUE,LONDON,POSHMAN,28,01/01/2019,3,Y,3.5
NB007,12/09/1998,M,15/12/2018,LIGHTBLUE,PRESTON,GREY,42,01/02/2019,3,,3.5
OG110,11/12/1996,F,01/07/2018,PINKTEAM,BRISTOL,WESTMAN,17,01/09/2020,3,,4
OB099,11/11/1999,M,01/11/2017,LIGHTBLUE,PRESTON,GREY,38,01/12/2017,4,,3
NB212,01/01/2000,M,11/11/2020,DARK KNIGHTS,NEWTOWN,BLACK,55,01/01/2021,3,,3
OB124,17/09/1995,M,15/06/2017,DARK KNIGHTS,NEWTOWN,BLACK,52,01/01/2020,4,Y,3
NG032,13/11/1992,F,11/01/2014,PINKTEAM,BRISTOL,WESTMAN,21,01/10/2017,4,,3
OB333,04/01/1999,M,01/06/2020,REDSOUTH,BRIGHTON,SOUTHMAN,38,01/12/2020,2,,4
OB232,01/09/1998,M,12/12/2016,REDNORTH,LIVERPOOL,REDMAN,44,01/12/2019,2,,3.5
NB311,22/11/1997,M,04/07/2018,LIGHTBLUE,PRESTON,GREY,59,01/12/2019,3,Y,4
NG210,23/02/1999,F,01/05/2019,GOLDWINGS,LONDON,BRIGHTMAN,21,01/06/2019,3,,4
NG222,01/01/2002,F,12/12/2019,DARK GREEN,LEEDS,GREENBOX,14,01/01/2020,2,Y,3.5
NB322,26/07/2000,M,01/10/2018,NAVYBLUE,LONDON,POSHMAN,29,01/01/2020,2,,3
NB320,27/10/1999,M,01/06/2016,LIGHTBLUE,PRESTON,GREY,32,01/07/2020,3,,3
NB337,12/05/1998,M,01/01/2015,LIGHTGREEN,COVENTRY,BROWN,27,01/12/2020,3,,3
